,0,1
1949,other,other
1950,other,other
1951,other,other
1952,other,other
1953,other,other
1954,other,other
1955,other,other
1956,other,other
1957,other,other
1958,other,other
1959,other,other
1960,other,other
1961,other,other
1962,other,other
1963,other,other
1964,other,other
1965,other,other
1966,other,other
1967,other,other
1968,other,other
1969,other,other
1970,other,other
1971,other,other
1972,other,other
1973,other,other
1974,other,other
1975,other,other
1976,other,other
1977,other,other
1978,other,other
1979,other,other
1980,other,other
1981,other,other
1982,other,other
1983,other,other
1984,other,other
1985,other,other
1986,other,other
1987,other,other
1988,other,other
1989,other,other
1990,other,other
1991,other,other
1992,other,other
1993,other,other
1994,other,other
1995,other,other
1996,other,other
1997,other,other
1998,other,other
1999,other,other
2000,other,other
2001,other,other
2002,other,other
2003,other,other
2004,other,other
2005,other,other
2006,other,other
2007,other,other
2008,other,other
2009,other,other
2010,other,other
2011,other,other
2012,other,other
2013,other,other
2014,other,other
2015,other,other
2016,other,other
2017,other,other
2018,other,other
2019,other,other
2020,other,other
2021,other,other
2022,other,other
2023,other,other
2024,blood,blood
2025,other,other
2026,other,other
2027,other,other
2028,other,other
2029,other,other
2030,other,other
2031,other,other
2032,other,other
2033,other,other
2034,other,other
2035,other,other
2036,other,other
2037,other,other
2038,other,other
2039,other,other
2040,other,other
2041,other,other
2042,other,other
2043,other,other
2044,other,other
2045,other,other
