Symbol1,GeneID1,Type1,Symbol1,GeneID1,Type1,Species,PMID,Source,Experiment,Interaction_type,DB
Ash1l,192195,TF,Nfe2,18022,TF,mouse,20211142,469906,0407:direct interaction,0018:two hybrid,biogrid
Ash2l,23808,TF,Esrrb,26380,TF,mouse,20362541,471531,0915:physical association,0004:affinity chromatography technology,biogrid
Ash2l,23808,TF,Foxp3,20371,TF,mouse,22922362,809951,0915:physical association,0004:affinity chromatography technology,biogrid
Ash2l,23808,TF,Foxp3,20371,TF,mouse,22922362,810285,0915:physical association,0004:affinity chromatography technology,biogrid
Ash2l,23808,TF,Mafk,17135,TF,mouse,17707229,563988,0915:physical association,0004:affinity chromatography technology,biogrid
Ash2l,23808,TF,Nanog,71950,TF,mouse,23892456,885933,0915:physical association,0004:affinity chromatography technology,biogrid
Ash2l,23808,TF,Nanog,71950,TF,mouse,23892456,EBI-8820601,0914:association,0007:anti tag coimmunoprecipitation,intact
Ash2l,23808,TF,Nfe2,18022,TF,mouse,17707229,563979,0915:physical association,0004:affinity chromatography technology,biogrid
Ash2l,23808,TF,Nfe2,18022,TF,mouse,17707229,563986,0915:physical association,0004:affinity chromatography technology,biogrid
Ash2l,23808,TF,Nfe2,18022,TF,mouse,20211142,469880,0407:direct interaction,0018:two hybrid,biogrid
Ash2l,23808,TF,Pou5f1,18999,TF,mouse,21477851,EBI-3990187,0915:physical association,0071:molecular sieving,intact
Ash2l,23808,TF,Pou5f1,18999,TF,mouse,22083510,674273,0915:physical association,0004:affinity chromatography technology,biogrid
Ash2l,23808,TF,Pou5f1,18999,TF,mouse,22083510,674475,0915:physical association,0004:affinity chromatography technology,biogrid
Ash2l,23808,TF,Runx1,12394,TF,mouse,22325351,671361,0915:physical association,0004:affinity chromatography technology,biogrid
Ash2l,23808,TF,Tbx1,21380,TF,mouse,20463296,531469,0407:direct interaction,0018:two hybrid,biogrid
Ash2l,23808,TF,Tbx1,21380,TF,mouse,20463296,531470,0915:physical association,0004:affinity chromatography technology,biogrid
